遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,108000216,2019/09/09,3444950,68899,724900,01,02,04,07,09,12,13,14,16,18,19,21
雙贏彩,108000217,2019/09/10,3129900,62598,1109100,04,06,08,10,11,13,14,15,21,22,23,24
雙贏彩,108000218,2019/09/11,3963450,79269,1051100,01,07,08,09,11,12,15,17,18,19,20,22
雙贏彩,108000219,2019/09/12,3307850,66157,900700,01,04,05,07,10,12,15,16,17,18,19,21
雙贏彩,108000220,2019/09/13,3172250,63445,786300,02,06,09,11,12,14,18,19,20,21,22,23
雙贏彩,108000221,2019/09/14,3821950,76439,1180500,02,03,05,07,09,12,13,16,17,18,22,23
雙贏彩,108000222,2019/09/16,3419600,68392,1098200,01,02,03,06,07,08,11,13,18,21,23,24
雙贏彩,108000223,2019/09/17,3108050,62161,816400,01,04,05,06,11,12,17,18,20,21,22,24
雙贏彩,108000224,2019/09/18,3866350,77327,877500,03,04,05,08,09,11,17,18,20,22,23,24
雙贏彩,108000225,2019/09/19,3146100,62922,1396600,01,03,05,09,12,15,17,19,20,22,23,24
雙贏彩,108000226,2019/09/20,3048750,60975,1009200,01,03,04,05,08,13,15,16,17,18,20,24
雙贏彩,108000227,2019/09/21,3714750,74295,1108300,02,03,04,06,07,09,12,14,15,21,22,23
雙贏彩,108000228,2019/09/23,3378400,67568,1630800,01,04,07,10,11,17,18,20,21,22,23,24
雙贏彩,108000229,2019/09/24,3062250,61245,1080000,01,04,05,06,09,10,12,16,17,20,21,22
雙贏彩,108000230,2019/09/25,3879650,77593,903700,06,09,10,12,15,17,18,19,20,21,22,24
雙贏彩,108000231,2019/09/26,3085300,61706,1485000,01,04,05,07,08,11,13,14,16,18,22,24
雙贏彩,108000232,2019/09/27,3082700,61654,889200,04,05,06,07,09,10,11,14,15,19,21,24
雙贏彩,108000233,2019/09/28,3602200,72044,1241900,04,06,07,09,11,14,15,20,21,22,23,24
雙贏彩,108000234,2019/09/30,3080350,61607,889000,02,04,05,07,08,09,10,16,17,18,20,24
雙贏彩,108000235,2019/10/01,3065050,61301,776400,02,03,04,05,11,12,17,19,20,21,22,23
雙贏彩,108000236,2019/10/02,3813800,76276,1519300,08,10,11,12,13,14,16,17,18,19,22,24
雙贏彩,108000237,2019/10/03,3040550,60811,787900,01,06,07,10,11,12,13,14,16,18,20,22
雙贏彩,108000238,2019/10/04,3102100,62042,1297800,02,03,06,08,12,13,14,15,20,21,22,23
雙贏彩,108000239,2019/10/05,4014000,80280,975500,07,10,12,13,15,16,17,18,20,22,23,24
雙贏彩,108000240,2019/10/07,3375500,67510,606400,03,04,06,07,08,10,12,16,19,21,23,24
雙贏彩,108000241,2019/10/08,3060550,61211,583100,02,05,06,07,08,09,11,16,20,21,22,24
雙贏彩,108000242,2019/10/09,3932450,78649,1190000,01,04,05,08,10,11,14,15,17,19,20,22
雙贏彩,108000243,2019/10/10,2982450,59649,470500,03,04,05,07,08,11,17,18,19,20,22,24
雙贏彩,108000244,2019/10/11,2946750,58935,1386500,01,03,05,08,09,13,14,15,17,20,22,23
雙贏彩,108000245,2019/10/12,3699500,73990,687400,01,04,07,11,12,13,14,15,20,21,22,24
